protocolSection.identificationModule.briefTitle,protocolSection.statusModule.statusVerifiedDate,protocolSection.statusModule.overallStatus,protocolSection.statusModule.completionDateStruct.date,protocolSection.sponsorCollaboratorsModule.responsibleParty.type,protocolSection.sponsorCollaboratorsModule.responsibleParty.investigatorFullName,protocolSection.sponsorCollaboratorsModule.leadSponsor.name,protocolSection.conditionsModule.conditions,protocolSection.designModule.studyType,protocolSection.designModule.enrollmentInfo.count,protocolSection.designModule.enrollmentInfo.type,protocolSection.armsInterventionsModule.interventions,protocolSection.conditionsModule.keywords,protocolSection.eligibilityModule.studyPopulation
Geometrical Facial Deformation According to Posture in Amyotrophic Lateral Sclerosis,2021-03,UNKNOWN,2021-04-30,PRINCIPAL_INVESTIGATOR,Sungchul Huh,Pusan National University Yangsan Hospital,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,20.0,ESTIMATED,"[{'name': '3-dimensional scan', 'description': 'Facial 3-dimensional scan according to posture'}]",,Patient: a patient who visit out- or inpatient clinic at rehabilitation hospital Healthy volunteer: community dwelling volunteer
Amantadine for the Treatment of Behavioral Disturbance in Frontotemporal Dementia (FTD),2017-08,WITHDRAWN,2007-07-26,SPONSOR,,Johns Hopkins University,['Dementia'],INTERVENTIONAL,0.0,ACTUAL,"[{'name': 'Amantadine'}, {'name': 'Placebo'}]","['Behavioral disturbance', 'Frontotemporal dementia', 'Dementia', 'Amantadine', 'Behavioral disturbance due to frontotemporal dementia']",
Dietary Approach to Improving Quality of Life in Amyotrophic Lateral Sclerosis,2019-06,WITHDRAWN,2021-07-01,SPONSOR_INVESTIGATOR,Terry L. Wahls,Terry L. Wahls,"['Diet Modification', 'Amyotrophic Lateral Sclerosis']",INTERVENTIONAL,0.0,ACTUAL,"[{'name': 'Modified Paleolithic diet', 'description': 'The diet eliminates legumes, grains and nightshades (as opposed to the Paleolithic diet) and is higher in vegetable and fruit intake and in omega-3 fatty rich foods.'}]",,
An In-home Study of Brain Computer Interfaces,2017-03,COMPLETED,2011-05,PRINCIPAL_INVESTIGATOR,"Jane Huggins, PhD",University of Michigan,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,1.0,ACTUAL,"[{'name': 'Brain Computer Interface for Wheelchair Tilt Control', 'description': 'Patients will be given the BCI for use in-home, as long as they use the BCI at least 10 hours per week and complete monthly performance assessment sessions.'}]",,
"Phase 2 Study Evaluating the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Oral AZ-3102 in Patients With GM2 Gangliosidosis or Niemann-Pick Type C Disease",2023-12,ACTIVE_NOT_RECRUITING,2024-12,SPONSOR,,Azafaros A.G.,"['GM2 Gangliosidosis', 'Niemann-Pick Disease, Type C']",INTERVENTIONAL,13.0,ACTUAL,"[{'name': 'AZ-3102 (Dose 1)', 'description': 'Pharmaceutical form: capsule\n\nRoute of administration: oral'}, {'name': 'Placebo', 'description': 'Pharmaceutical form: capsule\n\nRoute of administration: oral'}, {'name': 'AZ-3102 (Dose 2)', 'description': 'Pharmaceutical form: capsule\n\nRoute of administration: oral'}]",,
Study of Pulmonary Complications in Pediatric Patients With Storage Disorders Undergoing Allogeneic Hematopoietic Stem Cell Transplantation,2003-10,UNKNOWN,,,,Fairview University Medical Center,"['I Cell Disease', 'Fucosidosis', 'Globoid Cell Leukodystrophy', 'Adrenoleukodystrophy', 'Mannosidosis', 'Niemann-Pick Disease', 'Pulmonary Complications', 'Mucopolysaccharidosis I', 'Mucopolysaccharidosis VI', 'Metachromatic Leukodystrophy', ""Gaucher's Disease"", 'Wolman Disease']",OBSERVATIONAL,10.0,,,"[""Gaucher's disease"", 'I cell disease', 'Niemann-Pick disease', 'Wolman disease', 'adrenoleukodystrophy', 'disease-related problem/condition', 'fucosidosis', 'genetic diseases and dysmorphic syndromes', 'globoid cell leukodystrophy', 'inborn errors of metabolism', 'mannosidosis', 'metachromatic leukodystrophy', 'mucopolysaccharidosis', 'mucopolysaccharidosis I', 'mucopolysaccharidosis VI', 'oncologic disorders', 'pulmonary complications', 'rare disease', 'sphingolipidoses']",
Amyotrophic Lateral Sclerosis (ALS) Gulf War Study,2009-10,COMPLETED,2003-03,,,US Department of Veterans Affairs,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,135.0,ACTUAL,,"['ALS', 'amyotrophic lateral sclerosis', 'Gulf War Veterans']",Living and deceased veterans with an ALS diagnosis who served in the military between 8/2/1990 and 7/31/1991.
TMS for the Treatment of Primary Progressive Aphasia,2023-10,RECRUITING,2025-01-31,PRINCIPAL_INVESTIGATOR,Alexandra Touroutoglou,Massachusetts General Hospital,"['Logopenic Variant Primary Progressive Aphasia', 'Non-fluent Variant Primary Progressive Aphasia', 'Semantic Variant Primary Progressive Aphasia']",INTERVENTIONAL,30.0,ESTIMATED,"[{'name': 'ACTIVE rTMS', 'description': 'All study participants will receive one block of ACTIVE rTMS. Each block will consist of daily sessions of active rTMS delivered to the left dorsolateral prefrontal cortex over ten days (Monday through Friday).'}, {'name': 'SHAM rTMS', 'description': 'All study participants will receive one block of SHAM rTMS. Each block will consist of daily sessions of SHAM rTMS delivered to the left dorsolateral prefrontal cortex over ten days (Monday through Friday).'}]",,
Human Neural Stem Cell Transplantation in Amyotrophic Lateral Sclerosis (ALS),2015-12,COMPLETED,2015-12,PRINCIPAL_INVESTIGATOR,Angelo Luigi Vescovi,"Azienda Ospedaliera Santa Maria, Terni, Italy",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,18.0,ACTUAL,"[{'name': 'Human Neural Stem Cells', 'description': 'Surgical microinjection of human neural stem cells on spinal cord of ALS patients'}]","['amyotrophic lateral sclerosis', 'motor neuron disease', 'stem cells', 'safety', 'ALS-FRS-Functional scale R and FVC (%) variation', 'Survival analysis', 'Changes in quality of life scales']",
Mesenchymal Stem Cells for Treatment of Amyotrophic Lateral Sclerosis (ALS),2012-05,COMPLETED,2011-04,,,Mayo Clinic,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,1.0,ACTUAL,"[{'name': 'autologous mesenchymal stem cells', 'description': 'single intrathecal dose of 10x6 cells by lumbar puncture.'}]",,
Ventilatory Investigation of Tirasemtiv and Assessment of Longitudinal Indices After Treatment for a Year,2020-08,COMPLETED,2017-09-27,SPONSOR,,Cytokinetics,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,744.0,ACTUAL,"[{'name': 'Tirasemtiv'}, {'name': 'Placebo tablets'}]","['fast skeletal troponin activator', 'tirasemtiv', 'CK-2017357', 'double-blind', 'randomized', 'placebo-controlled']",
Advancing Research and Treatment for Frontotemporal Lobar Degeneration (ARTFL),2021-05,COMPLETED,2020-09,SPONSOR,,"University of California, San Francisco","['FTLD', 'Progressive Supranuclear Palsy (PSP)', 'Frontotemporal Dementia (FTD)', 'Corticobasal Degeneration (CBD)', 'PPA Syndrome', 'Behavioral Variant Frontotemporal Dementia (bvFTD)', 'Semantic Variant Primary Progressive Aphasia (svPPA)', 'Nonfluent Variant Primary Progressive Aphasia (nfvPPA)', 'FTD With Amyotrophic Lateral Sclerosis (FTD/ALS)', 'Amyotrophic Lateral Sclerosis (ALS)', 'Oligosymptomatic PSP (oPSP)', 'Corticobasal Syndrome (CBS)']",OBSERVATIONAL,1489.0,ACTUAL,,"['FTLD, PSP, CBD, PPA, FTD, FTD-ALS, CBS, ALS, svPPA, nfvPPA, oPSP']","Patients with a diagnosis of a frontotemporal lobar degeneration (FTLD) syndrome, including progressive supranuclear palsy (PSP), semantic variant primary progressive aphasia (svPPA), and frontotemporal dementia with amyotrophic lateral sclerosis (FTD-ALS). Family members of patients with FTLD syndromes."
EH301 for the Treatment of ALS,2018-05,COMPLETED,2017-06,SPONSOR,,Elysium Health,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,32.0,ACTUAL,"[{'name': 'EH301', 'description': ""1-(beta-D-Ribofuranosyl)nicotinamide chloride and 3,5-Dimethoxy-4'-hydroxy-trans-stilbene""}, {'name': 'Placebo', 'description': 'No intervention- placebo'}]",,
Clinical Trial on the Use of Autologous Bone Marrow Stem Cells in Amyotrophic Lateral Sclerosis,2010-12,COMPLETED,2010-02,,,Fundacion para la Formacion e Investigacion Sanitarias de la Region de Murcia,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,11.0,ACTUAL,"[{'name': 'Laminectomy and bone marrow stem cells transplantation', 'description': 'T3-T4 laminectomy and bone marrow ficoll separated mononuclear autologous cells intraspinal transplantation'}, {'name': 'Autologous bone marrow cells collection', 'description': 'Autologous bone marrow cells collection under sedation. Sixty mL are obtained and processed through a ficoll gradient.'}]","['Amyotrophic Lateral Sclerosis', 'Bone marrow', 'Stem cells', 'Autologous', 'Safety']",
Evaluation and Characterization of Behavioural Disorders and Dementias by the Behavioural Dysexecutive Syndrome Inventory (BDSI),2020-07,COMPLETED,2018-01-28,SPONSOR,,"Centre Hospitalier Universitaire, Amiens","['Frontotemporal Dementia', 'Huntington Disease', 'Alzheimer Disease', 'Semantic Dementia', 'Dementia, Vascular']",OBSERVATIONAL,49.0,ACTUAL,"[{'name': 'prevalence of behavioural dysexecutive syndrome', 'description': 'Behavioural Dysexecutive Syndrome Inventory (ISDC)'}]",['behavioural disorders'],"French-speaking subjects between the ages of 40 and 85 years with an MMSE score \> 15/30, followed for AD or MCI or VaD or FTD or SD or HD will be selected by their neurologist during a routine memory assessment visit."
Study of Standard Noninvasive Positive Pressure Ventilation (NIPPV) and Low Expiratory Pressure NIPPV in ALS Patients,2016-11,COMPLETED,2011-10,SPONSOR_INVESTIGATOR,Kirsten Gruis,Kirsten Gruis,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,28.0,ACTUAL,"[{'name': 'Viasys® Healthcare, Pulmonetic Systems, lap-top ventilator (LTV machine)', 'description': 'Noninvasive positive airway pressure ventilation'}]",,
The Treatment of Amyotrophic Lateral Sclerosis With Huollingshengji Granules,2021-06,UNKNOWN,2022-12-31,SPONSOR,,Peking University Third Hospital,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,144.0,ESTIMATED,"[{'name': 'Huolingshengji Granules', 'description': '1 bag of Huolingshengji Granules each time + 1 tablet of Riluzole tablet simulation agent each time, twice a day, orally;'}, {'name': 'Riluzole tablet', 'description': 'Huolingshengji granules simulation agent 1 bag each time + Riluzole tablet 1 tablet each time, 2 times a day, orally.'}]",,
Study of [11C]CPPC to Assess the Safety and Tolerability in Patients With ALS,2023-07,TERMINATED,2023-03-30,SPONSOR,,Johns Hopkins University,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,4.0,ACTUAL,"[{'name': '[11C]CPPC Injection', 'description': 'A single dose of \\[11C\\]CPPC (370 megabecquerel (MBq) (X±1 mCi)) intravenously and subsequent positron emission tomography (PET) scan.'}]",['Positron Emission Tomography'],
Speech-Language Treatment With Remotely Supervised Transcranial Direct Current Stimulation in Primary Progressive Aphasia,2023-07,ACTIVE_NOT_RECRUITING,2024-06-30,PRINCIPAL_INVESTIGATOR,Maya Henry,University of Texas at Austin,['Primary Progressive Aphasia'],INTERVENTIONAL,10.0,ESTIMATED,"[{'name': 'Remotely supervised Transcranial Direct Current Stimulation (RS-tDCS)', 'description': ""tDCS is a type of non-invasive brain stimulation. 1.5 milliamp (mA) of current will be delivered via electrodes in saline-soaked sponges placed on the left side of the head and right upper arm. The stimulation will be delivered for 20 minutes, 5 times weekly, in the participant's home setting while the participant engages in computer-delivered speech-language training. Sessions are monitored by study personnel.""}, {'name': 'Remotely supervised sham tDCS (RS-sham-tDCS)', 'description': ""tDCS is a type of non-invasive brain stimulation. During sham stimulation 1.5 milliamp (mA) of current will be delivered for a brief period and then turned off. Current will be delivered via electrodes in saline-soaked sponges placed on the left side of the head and right upper arm. Sham will be delivered for 20 minutes, 5 times weekly, in the participant's home setting while the participant engages in computer-delivered speech-language training. Sessions are monitored by study personnel.""}, {'name': 'Lexical Retrieval Training (LRT)', 'description': 'Participants work on producing spoken and written names of personally relevant target items using a self-cueing hierarchy. Treatment focuses on the use of strategies that capitalize on spared cognitive-linguistic abilities to support word retrieval. The participant completes two (one hour each) teletherapy sessions per week with a clinician plus 30 minutes of additional independent, computer-based practice exercises 3 times per week.'}, {'name': 'Video Implemented Script Training in Aphasia (VISTA)', 'description': 'Participants work on producing personally relevant scripts of 4-6 sentences in length. Length and complexity of scripts are individually tailored. The participant completes two (one hour each) teletherapy sessions per week with a clinician targeting clear and accurate script production, script memorization, and conversational usage of scripts. The participant completes 30 minutes of independent, computer-based practice 3 times per week, during which they speak in unison with a video/audio model of a healthy speaker clearly articulating the scripts.'}]","['Speech-Language Pathology', 'Primary Progressive Aphasia', 'Fronto-Temporal Dementia', ""Alzheimer's Disease"", 'Neurodegenerative Disease', 'Logopenic', 'Semantic', 'Nonfluent', 'Logopenic Variant Primary Progressive Aphasia', 'Semantic Variant Primary Progressive Aphasia', 'Nonfluent Variant Primary Progressive Aphasia', 'Semantic Dementia', 'Speech Entrainment', 'Script Training', 'Teletherapy', 'Transcranial Direct Current Stimulation', 'Remotely-Supervised Transcranial Direct Current Stimulation', 'Lexical Retrieval', 'Noninvasive Brain Stimulation', 'Telehealth']",
Evaluation of a Transcranial Stimulation With Direct Current on Language Disorders in Semantic Dementia,2023-03,RECRUITING,2024-09,SPONSOR,,Assistance Publique - Hôpitaux de Paris,['Semantic Dementia'],INTERVENTIONAL,80.0,ESTIMATED,"[{'name': 'Transcranial stimulation', 'description': '1. 10 days of stimulation (20min, 1.59mA) in double-blind sham-controlled. 3 arms (N=20 in each arm):\n\n   * left-excitatory tDCS (N=20)\n   * right-inhibitory tDCS (N=20)\n   * sham tDCS (N=20)\n2. 4 language/semantic evaluations: base-line; 3 days; 2 weeks; 4 months post-tDCS\n3. 2 MRI/PET acquisitions: pre-stimulation (base-line); 2 weeks post-tDCS'}]",,
Safety and Tolerability Ultra-high-caloric Food Supplements in Amyotrophic Lateral Sclerosis (ALS),2021-04,COMPLETED,2021-04-05,SPONSOR_INVESTIGATOR,"Albert Christian Ludolph, Prof.","Albert Christian Ludolph, Prof.",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,64.0,ACTUAL,"[{'name': 'high-caloric fatty diet', 'description': 'see arm/group description'}, {'name': 'ultra-high-caloric fatty diet', 'description': 'see arm/group description'}, {'name': 'ultra-high-caloric carbohydrate-rich diet', 'description': 'see arm/group description'}]",,
A Prospective Non-therapeutic Study in Patients Diagnosed With Niemann-Pick Disease Type C,2017-05,COMPLETED,2017-05,SPONSOR,,ZevraDenmark,"['Niemann-Pick Disease, Type C']",OBSERVATIONAL,35.0,ACTUAL,,"['NP-C', 'LSD', 'lysosomal storage disorder', 'lysosomal storage disease', 'NPC2', 'NPC1', 'Niemann-Pick Type C', 'Niemann-Pick,', 'Arimoclomol']",NPC1 and NPC2 patients aged 2-18 years
Pre-hospital ECMO in Advanced Resuscitation in Patients With Refractory Cardiac Arrest. ( SUB30 ),2020-11,UNKNOWN,2021-12-31,SPONSOR,,Barts & The London NHS Trust,"['Death, Sudden, Cardiac', 'Out-Of-Hospital Cardiac Arrest', 'Ventricular Fibrillation', 'Cardiopulmonary Arrest With Successful Resuscitation']",INTERVENTIONAL,6.0,ESTIMATED,"[{'name': 'ECMO resuscitation', 'description': 'Extracorporeal Cardio-Pulmonary Resuscitation (ECPR) using ECMO within 30 minutes of cardiac arrest'}]","['Advanced life support (ALS)', 'Extra-corporeal Membrane Oxygenation Resuscitation (ECMO)']",
Dementias and Microbiota Composition: Is Possible to Revert the Dementia Symptoms Reverting the Microbiota Composition?,2023-06,RECRUITING,2025-02-01,PRINCIPAL_INVESTIGATOR,Margarita Torrente,University Rovira i Virgili,"['Dementia Alzheimers', 'Dementia With Lewy Bodies', 'Parkinson Disease Dementia', 'Dementia Frontotemporal', 'Mild Cognitive Impairment']",OBSERVATIONAL,240.0,ESTIMATED,"[{'name': 'No intervention', 'description': 'no intervention'}, {'name': 'Probiotic supplement', 'description': 'A total of 60 Alzheimer Disease (AD) patients will be recruited, 30 will ingest the probiotic mixture and 30 will ingest placebo (randomized assignment to the groups will be done). The experimental group will take the probiotic ingest daily: Lactobacillus acidophilus, Lactobacillus casei, Bifidobacterium bifidum, and Lactobacillus fermentum (2 × 109 colony forming units (CFU)/g of each). This mixture of bacteria has been showed to have positive results with 12 weeks treatment.'}]","['cognitive status', 'functional status', 'neuropsychiatric status', 'microbiota']",Clinic patients from hospitals and other diagnostic medical centers.
Quantitative Analysis of Precise Brain Volume in Amyotrophic Lateral Sclerosis,2021-06,COMPLETED,2021-01-31,SPONSOR,,Peking University Third Hospital,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,32.0,ACTUAL,"[{'name': 'Diagnostic criteria', 'description': 'Diagnostic criteria of ALS'}]",,32
Spinal Interneuron Excitability in ALS,2021-08,UNKNOWN,2021-11,SPONSOR,,"Institut National de la Santé Et de la Recherche Médicale, France",['ALS'],INTERVENTIONAL,120.0,ESTIMATED,"[{'name': 'Electrophysiology', 'description': 'EMG recordings conditioned by electrical peripheral nerve stimulation and/or transcranial magnetic stimulation'}]","['Pathophysiology', 'Spinal interneurons', 'Electrophysiology', 'EMG', 'transcranial magnetic stimulation (TMS)']",
Effect of Intrathecal Administration of Hematopoietic Stem Cells in Patients With Amyotrophic Lateral Sclerosis (ALS),2015-04,COMPLETED,2014-06,PRINCIPAL_INVESTIGATOR,David Gomez Almaguer,Hospital Universitario Dr. Jose E. Gonzalez,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,14.0,ACTUAL,"[{'name': 'Intrathecal autologous stem cell', 'description': 'Mobilization and collection of stem cells for intravenous and intrathecal administration'}]","['ALS, stem cells']",
